id,Currency,Actual,Pred
84,HKD,3.412,3.6192524
84,JPY,0.2435,0.25152674
84,KRW,0.0231,0.024396658
84,USD,27.285,29.167156
85,AUD,21.02,22.013657
85,CAD,22.43,23.016016
85,EUR,32.97,34.297516
85,GBP,37.96,39.708706
85,HKD,3.412,3.4474216
85,JPY,0.243,0.2582643
85,KRW,0.02314,0.023403019
85,USD,27.29,27.882133
86,AUD,20.24,21.329546
86,CAD,21.61,22.477577
86,EUR,30.0,32.89901
86,GBP,35.94,39.017708
86,HKD,3.471,3.5399776
86,JPY,0.2365,0.27551973
86,KRW,0.02122,0.0210936
86,USD,27.975,28.571774
87,AUD,19.32,20.695175
87,CAD,21.55,22.758848
87,EUR,33.58,33.20046
87,GBP,38.47,38.863426
87,HKD,3.716,3.6941037
87,JPY,0.285,0.27057952
87,KRW,0.02329,0.023371309
87,USD,29.68,29.767206
88,AUD,19.6,20.525845
88,CAD,21.46,22.31463
88,EUR,30.97,33.369686
88,GBP,36.49,38.79757
88,HKD,3.413,3.6014333
88,JPY,0.2314,0.26552543
88,KRW,0.02153,0.023807079
88,USD,27.42,29.093262
89,AUD,20.01,21.090559
89,CAD,21.72,22.425493
89,EUR,31.8,33.653786
89,GBP,37.28,39.30983
89,HKD,3.422,3.4731066
89,JPY,0.2421,0.2615433
89,KRW,0.02233,0.021929167
89,USD,27.445,28.128052
90,AUD,20.67,21.28614
90,CAD,22.11,22.57756
90,EUR,30.66,32.799248
90,GBP,36.27,38.491467
90,HKD,3.483,3.5502193
90,JPY,0.2297,0.26822814
90,KRW,0.02169,0.021438606
90,USD,28.08,28.646866
91,AUD,20.79,20.31842
91,CAD,22.85,22.666058
91,EUR,29.88,33.254593
91,GBP,35.11,37.902985
91,HKD,3.671,3.8068547
91,JPY,0.2154,0.27458265
91,KRW,0.02116,0.02323173
91,USD,29.59,30.67588
92,AUD,20.41,21.240438
92,CAD,21.34,22.644697
92,EUR,33.21,32.788063
92,GBP,36.31,36.09183
92,HKD,3.584,3.6609275
92,JPY,0.2653,0.25931412
92,KRW,0.0232,0.024316832
92,USD,28.59,29.460934
93,AUD,18.96,19.926924
93,CAD,20.74,21.924822
93,EUR,31.56,32.90763
93,GBP,35.46,38.718666
93,HKD,3.698,3.682425
93,JPY,0.2698,0.2729691
93,KRW,0.02265,0.021813259
93,USD,29.475,29.721573
94,AUD,21.36,22.133856
94,CAD,21.82,22.253576
94,EUR,32.95,33.874153
94,GBP,37.99,39.230953
94,HKD,3.484,3.527179
94,JPY,0.2516,0.26114166
94,KRW,0.02333,0.02340126
94,USD,27.85,28.412031
95,AUD,20.58,21.77939
95,CAD,22.07,22.471903
95,EUR,32.45,33.813892
95,GBP,37.62,39.53491
95,HKD,3.444,3.539942
95,JPY,0.2437,0.2642019
95,KRW,0.0229,0.02287329
95,USD,27.555,28.528666
96,AUD,20.45,21.283815
96,CAD,22.27,23.13411
96,EUR,31.38,33.546417
96,GBP,36.3,39.29838
96,HKD,3.775,3.7063603
96,JPY,0.2179,0.276065
96,KRW,0.02182,0.021377228
96,USD,30.185,29.844316
97,AUD,20.83,21.758314
97,CAD,22.35,22.61396
97,EUR,32.73,33.08892
97,GBP,37.9,37.521744
